id,phones,base_phones
08f44f055a9a016e0390f050aa3c93c0,"[""+19049989600""]","[""9049989600""]"
08f29a456e42e5830324637954145c50,"[""+16194474353""]","[""6194474353""]"
08fbcd0030da5323031bcafa8c2fa0dc,"[""+27137573800""]","[""0137573800""]"
08f3956260b9e14003feca2bf0764d0c,"[""+34966803254""]","[""966803254""]"
08f1969a93ad194003d9ba6cd9e59cbc,"[""+31318255062""]","[""0318255062""]"
08f3950d1d5a6bae03a09c30bbb17406,"[""+34966400784""]","[""966400784""]"
08f48d621e8c9db103fd54168e9fe11c,"[""+15753939827""]","[""5753939827""]"
08f44e8346794333033a01eb53999680,"[""+12057470443""]","[""2057470443""]"
08f2ab2c4b89449a03e88d9391424fd1,"[""+14375517377""]","[""4164094360""]"
1970324842101934,"[""8042327880""]","[""8045480798""]"
08f281334dcd60a303d3ca8e7eff2b77,"[""+15418853166""]","[""5418853166""]"
08f44e554128900503a7df0284a7d549,"[""+18502004040""]","[""8502004040""]"
08f2659a2d05a4b103cc0338dfb94fa1,"[""+19014215785""]","[""9014215785""]"
08f2a1054d2dd7b003431719d93037ed,"[""+12012261560""]","[""2012261560""]"
08f2986a82c92b5003309ff5c3c715bf,"[""+17253030086""]","[""7253030086""]"
08f2a8c10a6a681003edc1e418ee0a32,"[""+14349703250""]","[""4349703250""]"
08f44c2011985b0e030204dcf297b66d,"[""+17063609400""]","[""7063030945""]"
08f1f1a9ab72151e0395f93e968c61b9,"[""+493455126523""]","[""03455126523""]"
08f44e06aa0b5a4a03caf2e60bd69a4a,"[""2296718791""]","[""2295154079""]"
08f1faea1a71d7250355b13ab53cefdb,"[""+496926495455""]","[""06926495455""]"
08f26567197a3b3603beda847a81c35f,"[""+19135797533""]","[""9135797533""]"
1125899912260220,"[""8556591656""]","[""8004532265""]"
08f266d4a16a03ab0311ad6f84dc7077,"[""+15026532417""]","[""5026532417""]"
08f44c021830026803d17bc7c5fb545d,"[""+17622212202""]","[""7622212202""]"
08f2a100d8654204037ff5b80140ed5d,"[""+19175402098""]","[""9175402098""]"
08f1ea4c402c36690356e3ca028ae6f9,"[""+390454500300""]","[""3516989156""]"
08f2e614569a86580306294dc87fd829,,"[""+81752111215""]"
08f274864eb8c0f30307c49f06635d20,"[""+12693736440""]","[""2693736440""]"
08f1f916e27045180352f04913bc42cc,"[""+33155215840""]","[""+33825020020""]"
08f44a18511700c5039a1e230fdc197c,"[""+13055987004""]","[""3055987004""]"
08f446c24248389c03f8f8dbd8576f9f,"[""+12816728093""]","[""2816728093""]"
08f3da11a880352a03e1b552a441aa16,"[""+919382222227""]","[""+919315222227""]"
08f1e33450db537303a4d343dac8ccdc,"[""+4372636365""]","[""072636365""]"
08f2af62655ad02303c1c002aed33a25,"[""+17578664652""]","[""7578664652""]"
08f2664c9939219403dbde16d5780a75,"[""+17084849060""]","[""7084849060""]"
08f269614b65270a03cda656d6a2aa1f,"[""+18017380378""]","[""8017380378""]"
08f1f2d6b121bae9037c5aa065d85015,"[""+46104513302""]","[""0104513302""]"
281474977374045,"[""6034248245""]","[""""]"
08f2a101ab4a4d6603318d4b9c6dea88,"[""+19147931458""]","[""9147931458""]"
1125899909415294,"[""6133897900""]","[""6132239868""]"
08f1e9a009660cb00355eadd4822414d,"[""+390916255912""]","[""0916255912""]"
2251799821514759,"[""7243486229""]","[""7243484051""]"
08f28d1aacab0c5503f03bc3cacd7057,"[""+12505901202""]","[""2505901202""]"
08f44e37039615310322ab3480bdd8e9,"[""+12299954960""]","[""2299954960""]"
1407374886990716,"[""2149347159""]","[""8442923296""]"
08f29a5498484496037471212e5b1e6b,"[""+19495583892""]","[""9495583892""]"
08f44aeb866480e903682149449f77ac,"[""+15616936592""]","[""5616936592""]"
08f26e51040a94ee0300548c32b817b1,"[""+17852731106""]","[""7852731106""]"
08f26c86642125b4031326f6a64ebbd6,"[""+12143068714""]","[""2143068714""]"
1125899908351517,"[""7705053855""]","[""4706448140""]"
